Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
64742	64742|Pleuropulmonary blastoma|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|601200
64743	64743|Hepatoportal sclerosis|Unknown|-|All ages|
64744	64744|IgG4-related thyroid disease|Unknown|Not applicable|-|
64745	64745|Pruritic urticarial papules and plaques of pregnancy|-|-|-|178995
64746	64746|Autosomal dominant Charcot-Marie-Tooth disease type 2|1-5 / 10 000|Autosomal dominant|All ages|
64747	64747|X-linked Charcot-Marie-Tooth disease|1-9 / 100 000|X-linked recessive<br>or&nbsp;X-linked dominant|-|
64748	64748|Dejerine-Sottas syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|Infancy|145900
64749	64749|Charcot-Marie-Tooth disease type 4|1-5 / 10 000|Autosomal recessive|Childhood|
64751	64751|Hereditary motor and sensory neuropathy type 5|-|-|Adult|600361
64752	64752|Hereditary sensory and autonomic neuropathy type 5|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|608654
64753	64753|Spinocerebellar ataxia with axonal neuropathy type 2|-|Autosomal recessive|Childhood|606002 615217
64754	64754|Nevus comedonicus syndrome|-|Not applicable|-|617025
64755	64755|Becker nevus syndrome|-|-|-|604919
648	648|Noonan syndrome|Unknown|Autosomal dominant|Neonatal|163950 605275 609942 610733 611553 613224 613706 615355 616559 616564
649	649|Norrie disease|Unknown|X-linked recessive<br>or&nbsp;Not applicable|Neonatal|310600
65	65|Leber congenital amaurosis|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|179900 204000 204100 604232 604393 604537 608553 610612 611755 612712 613341 613826 613829 613835 613837 613843 614186 615360
650	650|LCAT deficiency|<1 / 1 000 000|Autosomal recessive|All ages|136120 245900
652	652|Multiple endocrine neoplasia type 1|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|All ages|131100
65250	65250|Perineural cyst|Unknown|Not applicable|Adult|
65282	65282|Carvajal syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Infancy<br>Childhood|605676 615821
65283	65283|Timothy syndrome|<1 / 1 000 000|Autosomal dominant|-|601005
65284	65284|Biotin-thiamine-responsive basal ganglia disease|-|Autosomal recessive|-|607483
65285	65285|Lhermitte-Duclos disease|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Adult|158350
65286	65286|3q29 microdeletion syndrome|Unknown|Autosomal dominant|Infancy<br>Neonatal|609425
65287	65287|Beta-ureidopropionase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613161
65288	65288|Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|609069
653	653|Multiple endocrine neoplasia type 2|1-9 / 100 000|Autosomal dominant|All ages|155240 162300 171400
654	654|Nephroblastoma|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|Childhood|194070 194071 194090 601363 601583 616806
655	655|Nephronophthisis|1-9 / 100 000|Autosomal recessive|All ages|256100 602088 604387 606966 611498 613159 613820 613824 614377 615382 615862
656	656|Familial idiopathic steroid-resistant nephrotic syndrome|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|256370 600995 603278 603965 607832 610725 613237 614131 614196 615244 615573 615861 616002 616032 616220 616730 616892 616893
65681	65681|Vaginal atresia|Unknown|Not applicable|Childhood|
65682	65682|Benign recurrent intrahepatic cholestasis|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|243300 605479
65683	65683|Isolated focal cortical dysplasia|-|-|-|607341
65684	65684|Monomelic amyotrophy|Unknown|Unknown|Adolescent<br>Adult|602440
657	657|Congenital isolated hyperinsulinism|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood<br>Neonatal<br>Infancy|
65720	65720|Arthrogryposis-severe scoliosis syndrome|-|-|-|609128
65743	65743|Autosomal dominant multiple pterygium syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|178110
65748	65748|Multiple self-healing squamous epithelioma|Unknown|Autosomal dominant|Childhood<br>Adolescent<br>Adult<br>Elderly|132800
65753	65753|Charcot-Marie-Tooth disease type 1|1-5 / 10 000|Autosomal dominant|Infancy<br>Childhood<br>Adolescent<br>Adult|
65759	65759|Carpenter syndrome|<1 / 1 000 000|Autosomal recessive|Antenatal<br>Neonatal<br>Infancy|201000 614976
65798	65798|Goodman syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|201020
658	658|Non-histaminic angioedema|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|All ages|
659	659|Mutilating palmoplantar keratoderma with periorificial keratotic plaques|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;X-linked recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|300918 614594
660	660|Omphalocele|1-5 / 10 000|Not applicable|Neonatal<br>Antenatal|164750 310980
661	661|Ondine syndrome|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|209880
662	662|Yellow nail syndrome|<1 / 1 000 000|-|Adult|153300
663	663|Maternally-inherited progressive external ophthalmoplegia|Unknown|Mitochondrial inheritance<br>or&nbsp;Not applicable|Adolescent<br>Adult|
664	664|Ornithine transcarbamylase deficiency|1-9 / 100 000|X-linked recessive|Neonatal<br>All ages|311250
66518	66518|Short fifth metacarpals-insulin resistance syndrome|<1 / 1 000 000|Autosomal dominant|Adolescent|
66529	66529|Tako-Tsubo cardiomyopathy|Unknown|Unknown|Adult|
666	666|Osteogenesis imperfecta|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|166200 166210 166220 166230 259420 259440 610682 610915 610967 610968 613848 613849 613982 614856 615066 615220 616229 616507
66624	66624|PANDAS|Unknown|Not applicable|Childhood|
66625	66625|Cerebrooculonasal syndrome|<1 / 1 000 000|Autosomal dominant|Antenatal<br>Neonatal|605627
66627	66627|Pigmented villonodular synovitis|-|Not applicable|-|
66628	66628|Obesity due to congenital leptin deficiency|<1 / 1 000 000|Autosomal recessive|Childhood|614962
66629	66629|Goldberg-Shprintzen megacolon syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|609460
66630	66630|Congenital pseudoarthrosis of the clavicle|Unknown|Not applicable|Childhood|118980
66631	66631|CEDNIK syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|609528
66633	66633|Sensorineural hearing loss-early graying-essential tremor syndrome|<1 / 1 000 000|Autosomal dominant|Adult|
66634	66634|Dilated cardiomyopathy with ataxia|Unknown|Autosomal recessive|Childhood|610198
66637	66637|Diaphanospondylodysostosis|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|608022
66646	66646|Cutaneous mastocytosis|Unknown|Not applicable|Childhood|
66661	66661|Mast cell sarcoma|-|-|All ages|
66662	66662|Extracutaneous mastocytoma|-|-|All ages|
667	667|Autosomal recessive malignant osteopetrosis|1-9 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|259700 259710 611490 615085
668	668|Osteosarcoma|1-9 / 100 000|-|Childhood|259500
669	669|Taybi syndrome|<1 / 1 000 000|X-linked dominant|Infancy<br>Neonatal|304120 311300
67	67|Amoebiasis due to Entamoeba histolytica|Unknown|Not applicable|All ages|
67036	67036|Autosomal dominant optic atrophy and cataract|<1 / 1 000 000|Autosomal dominant|Childhood|165300
67037	67037|Squamous cell carcinoma of head and neck|1-5 / 10 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|275355
67038	67038|B-cell chronic lymphocytic leukemia|1-5 / 10 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|109543 151400 609630 612557 612558 612559
67039	67039|Segmental odontomaxillary dysplasia|<1 / 1 000 000|Not applicable|Childhood|
67041	67041|Hyaluronidase deficiency|<1 / 1 000 000|Autosomal recessive|Childhood|601492
67042	67042|Late-onset retinal degeneration|Unknown|Autosomal dominant|Adult<br>Elderly|605670
67043	67043|Acanthamoeba keratitis|1-9 / 100 000|Not applicable|All ages|
67044	67044|Thrombocytopenia with congenital dyserythropoietic anemia|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300367
67045	67045|X-linked intellectual disability with isolated growth hormone deficiency|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300123
67046	67046|3-methylglutaconic aciduria type 1|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|250950
67047	67047|3-methylglutaconic aciduria type 3|Unknown|Autosomal recessive|Childhood|258501
67048	67048|3-methylglutaconic aciduria type 4|Unknown|Autosomal recessive|Infancy<br>Neonatal|250951
671	671|Primary cutis verticis gyrata|Unknown|-|All ages|
672	672|Pallister-Hall syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|146510
673	673|Malaria|1-9 / 100 000|Not applicable|All ages|611162
674	674|Accessory pancreas|<1 / 1 000 000|Not applicable|Infancy<br>Neonatal|
675	675|Annular pancreas|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|167750
676	676|Hereditary chronic pancreatitis|1-9 / 1 000 000|Autosomal dominant|Childhood<br>Adolescent|167800
677	677|Pancreatoblastoma|<1 / 1 000 000|Not applicable|Childhood<br>Adult|
678	678|Papillon-LefÃ¨vre syndrome|1-9 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|245000
679	679|Malignant atrophic papulosis|<1 / 1 000 000|Autosomal dominant|Adult|602248
68	68|Amoebiasis due to free-living amoebae|1-9 / 100 000|Not applicable|All ages|
681	681|Hypokalemic periodic paralysis|1-9 / 100 000|Autosomal dominant|Childhood|170400 613345
682	682|Hyperkalemic periodic paralysis|1-9 / 1 000 000|Autosomal dominant|Childhood|170500
683	683|Progressive supranuclear palsy|1-9 / 100 000|Not applicable|Adult|260540 601104 609454 610898
68329	68329|Rare maxillo-facial surgical disease|-|-|-|
68334	68334|Rare hemorrhagic disorder due to a constitutional coagulation factors defect|-|-|-|
68335	68335|Chromosomal anomaly|-|-|-|
68336	68336|Rare genetic tumor|-|-|-|
68341	68341|Multiple congenital anomalies/dysmorphic syndrome|-|-|-|
68346	68346|Rare genetic skin disease|-|-|-|
68347	68347|Tumor of hematopoietic and lymphoid tissues|-|-|-|
68348	68348|Scalp disease|-|-|-|
68354	68354|Sleep disorder|-|-|-|
68356	68356|Leukodystrophy|-|-|-|
68361	68361|Rare deafness|-|-|-|
68362	68362|Rare vascular disease|-|-|-|
68363	68363|Rare dystonia|-|-|-|
68364	68364|Hemoglobinopathy|-|-|-|
68366	68366|Lysosomal disease|-|-|-|
68367	68367|Rare inborn errors of metabolism|-|-|-|
68373	68373|Peroxisomal disease|-|-|-|
68378	68378|Congenital limb malformation|-|-|-|
68380	68380|Mitochondrial disease|-|-|-|
68381	68381|Neuromuscular disease|-|-|-|
68383	68383|Rare constitutional aplastic anemia|-|-|-|
68385	68385|Neurometabolic disease|-|-|-|
684	684|Paramyotonia congenita of Von Eulenburg|Unknown|Autosomal dominant|Adolescent<br>Adult<br>Childhood|168300
68402	68402|Rare parkinsonian disorder|-|-|-|
68411	68411|Rare bone tumor|-|-|-|
68415	68415|Rare parathyroid disease and phosphocalcic metabolism anomaly|-|-|-|
68416	68416|Rare infectious disease|-|-|-|
68419	68419|Vascular anomaly or angioma|-|-|-|
685	685|Hereditary spastic paraplegia|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|All ages|
69	69|Amyloidosis|Unknown|-|All ages|
69028	69028|Dysostosis with brachydactyly|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|
69061	69061|Idiopathic steroid-sensitive nephrotic syndrome|Unknown|Unknown|Childhood|615861
69063	69063|Congenital membranous nephropathy due to maternal anti-neutral endopeptidase alloimmunization|<1 / 1 000 000|Not applicable|Neonatal<br>Antenatal|
69076	69076|Familial renal glucosuria|Unknown|Autosomal recessive<br>or&nbsp;Autosomal dominant|All ages|233100
69077	69077|Rhabdoid tumor|Unknown|-|Antenatal<br>Neonatal<br>Infancy<br>Childhood|609322 613325
69078	69078|Liposarcoma|Unknown|Unknown|All ages|613488
69082	69082|Odonto-tricho-ungual-digito-palmar syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|601957
69083	69083|Ectodermal dysplasia with natal teeth, Turnpenny type|Unknown|Autosomal dominant|Childhood|601345
69084	69084|Pure hair and nail ectodermal dysplasia|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|602032 614928 614929 614931
69085	69085|Limb-mammary syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|603543
69087	69087|Naegeli-Franceschetti-Jadassohn syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|161000
69088	69088|Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|300301
69125	69125|Anonychia with flexural pigmentation|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|106750
69126	69126|Pyogenic arthritis-pyoderma gangrenosum-acne syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|604416
69663	69663|Low phospholipid associated cholelithiasis|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Adult|600803
69665	69665|Intrahepatic cholestasis of pregnancy|Unknown|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|147480 614972
69723	69723|Tyrosinemia type 3|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|276710
69735	69735|Hypotrichosis-lymphedema-telangiectasia-renal defect syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|137940 607823
69736	69736|Bilateral acute depigmentation of the iris|<1 / 1 000 000|Unknown|Adult|
69737	69737|Bosley-Salih-Alorainy syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|601536
69739	69739|Athabaskan brainstem dysgenesis syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|601536
69744	69744|Circumscribed palmoplantar hypokeratosis|<1 / 1 000 000|Unknown|Adult|
69745	69745|Warty dyskeratoma|Unknown|Unknown|Adult|
699	699|Pearson syndrome|<1 / 1 000 000|Mitochondrial inheritance<br>or&nbsp;Not applicable|Infancy<br>Neonatal|557000
7	7|3C syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Neonatal<br>Antenatal<br>Infancy|220210 300963
70	70|Proximal spinal muscular atrophy|1-9 / 100 000|Autosomal recessive|All ages|253300 253400 253550 271150
700	700|Alopecia totalis|1-5 / 10 000|-|All ages|104000 300042 610753
701	701|Alopecia universalis|1-5 / 10 000|-|-|104000 203655 610753
702	702|Pelizaeus-Merzbacher disease|1-9 / 1 000 000|X-linked recessive<br>or&nbsp;X-linked dominant|All ages|213900 312080
703	703|Bullous pemphigoid|-|-|All ages|
704	704|Pemphigus vulgaris|1-5 / 10 000|Not applicable|Adult<br>Elderly|169610
70470	70470|Hyperlipoproteinemia type 5|Unknown|Multigenic/multifactorial|Adult|144650
70472	70472|Congenital lactic acidosis, Saguenay-Lac-Saint-Jean type|Unknown|Autosomal recessive|Infancy<br>Neonatal|220111
70474	70474|Leigh syndrome with cardiomyopathy|-|-|-|256000
70475	70475|Radiation proctitis|1-5 / 10 000|Not applicable|Adult|
70476	70476|Vernal keratoconjunctivitis|1-5 / 10 000|Not applicable|Childhood|
70482	70482|Carcinoma of esophagus|1-9 / 100 000|-|Adult|
705	705|Pendred syndrome|1-9 / 100 000|Autosomal recessive|Infancy<br>Neonatal|274600
70567	70567|Cholangiocarcinoma|1-9 / 100 000|Not applicable|Adult|615619
70568	70568|Post-transplant lymphoproliferative disease|1-5 / 10 000|Not applicable|All ages|
70573	70573|Small cell lung cancer|1-5 / 10 000|Not applicable|Adult|182280
70578	70578|Adult acute respiratory distress syndrome|1-5 / 10 000|Not applicable|Adult|
70587	70587|Infant acute respiratory distress syndrome|1-5 / 10 000|Not applicable|Infancy<br>Neonatal|267450
70588	70588|Meconium aspiration syndrome|1-9 / 100 000|Not applicable|Infancy<br>Neonatal|
70589	70589|Bronchopulmonary dysplasia|1-5 / 10 000|Not applicable|Infancy<br>Neonatal|
70590	70590|Infantile apnea|-|-|-|
70591	70591|Chronic thromboembolic pulmonary hypertension|1-9 / 100 000|Not applicable|Adult|612862
70592	70592|Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency|<1 / 1 000 000|Autosomal recessive|Childhood|607676
70593	70593|Immunodeficiency due to selective anti-polysaccharide antibody deficiency|<1 / 1 000 000|Multigenic/multifactorial|Childhood|
70594	70594|Dopa-responsive dystonia due to sepiapterin reductase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|612716
70595	70595|Sensory ataxic neuropathy-dysarthria-ophthalmoparesis syndrome|Unknown|Autosomal recessive|Adult|607459
70596	70596|Congenital Epstein-Barr virus infection|Unknown|Not applicable|Infancy<br>Neonatal|
706	706|PAD<br>Patent ductus arteriosus<br>Persistent patency of the arterial duct|-|-|-|
707	707|Plague|Unknown|-|All ages|
708	708|Peters anomaly|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|604229
709	709|Peters plus syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|261540
71	71|Chylomicron retention disease|<1 / 1 000 000|Autosomal recessive|Childhood<br>Infancy|246700
710	710|Pfeiffer syndrome|Unknown|Autosomal dominant|Antenatal<br>Neonatal|101600
71198	71198|Rare pulmonary hypertension|Unknown|-|-|
712	712|Hemolytic anemia due to glucophosphate isomerase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613470
71202	71202|Rare hemorrhagic disorder due to a constitutional platelet anomaly|-|-|-|
71203	71203|Autoimmune thrombocytopenia|-|-|-|
71209	71209|Rare soft tissue tumor|-|-|-|
71211	71211|Neuromyelitis optica|1-9 / 100 000|Multigenic/multifactorial|All ages|
71212	71212|Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|231530 609975
71213	71213|Retinal capillary malformation|Unknown|Autosomal dominant|All ages|
71267	71267|Dentinogenesis imperfecta-short stature-hearing loss-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
71269	71269|BES|<1 / 1 000 000|Unknown|No data available|
71270	71270|-|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
71271	71271|Split hand-split foot-deafness syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|220600
71272	71272|Sandifer syndrome|Unknown|Not applicable|Childhood|
71273	71273|Renal nutcracker syndrome|Unknown|Unknown|Adult|
71274	71274|Disseminated peritoneal leiomyomatosis|<1 / 1 000 000|Unknown|Adult|
71275	71275|Rh deficiency syndrome|Unknown|Autosomal recessive|No data available|268150
71276	71276|Silent sinus syndrome|<1 / 1 000 000|Not applicable|Adult|
71277	71277|Encephalopathy due to GLUT1 deficiency|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|606777
71278	71278|Congenital brain dysgenesis due to glutamine synthetase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|610015
71279	71279|CANOMAD syndrome|Unknown|-|Adult|
71281	71281|Rare central nervous system and retinal vascular disease|-|-|-|
71289	71289|Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome|<1 / 1 000 000|Autosomal dominant|Neonatal|605432 616738
71290	71290|Hereditary thrombocytopenia with normal platelets-hematological cancer predisposition syndrome|<1 / 1 000 000|Autosomal dominant|No data available|601399
71291	71291|Hereditary vascular retinopathy|<1 / 1 000 000|Autosomal dominant|Adult|192315
713	713|Glycogen storage disease due to phosphoglycerate kinase 1 deficiency|<1 / 1 000 000|X-linked recessive|All ages|300653
714	714|Hemolytic anemia due to diphosphoglycerate mutase deficiency|-|-|-|222800
71493	71493|Familial thrombocytosis|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;X-linked recessive|Childhood|187950 300331 601977 614521
715	715|Glycogen storage disease due to muscle phosphorylase kinase deficiency|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Adolescent<br>Adult|300559
71505	71505|Cancer-associated retinopathy|Unknown|Not applicable|Adult|
71517	71517|Rapid-onset dystonia-parkinsonism|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Childhood<br>Adolescent<br>Adult|128235
71518	71518|Benign paroxysmal torticollis of infancy|<1 / 1 000 000|Not applicable|Childhood|
71519	71519|Psychogenic movement disorders|Unknown|Not applicable|All ages|
71526	71526|Obesity due to pro-opiomelanocortin deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|609734
71528	71528|Obesity due to prohormone convertase I deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|600955
71529	71529|Obesity due to melanocortin 4 receptor deficiency|1-5 / 10 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|601665
716	716|Phenylketonuria|1-5 / 10 000|Autosomal recessive|Infancy|261600
717	717|Catecholamine-producing tumor|-|Autosomal dominant<br>or&nbsp;Not applicable|All ages|
718	718|Isolated Pierre Robin syndrome|1-9 / 100 000|Autosomal recessive<br>or&nbsp;Not applicable|Neonatal|261800
71859	71859|Rare genetic neurological disorder|-|-|-|
71862	71862|Retinal dystrophy|-|-|-|
71864	71864|Muscular channelopathy|-|-|-|
72	72|Angelman syndrome|1-9 / 100 000|Not applicable<br>or&nbsp;Unknown|Infancy|105830
720	720|Pili bifurcati|Unknown|-|Childhood|
721	721|Gray platelet syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|139090 187900
722	722|Hypoplasminogenemia|1-9 / 1 000 000|Autosomal recessive<br>or&nbsp;Not applicable|All ages|217090
723	723|Pneumocystosis|Unknown|Not applicable|-|
724	724|Idiopathic acute eosinophilic pneumonia|<1 / 1 000 000|Unknown|All ages|
725	725|Continuous spikes and waves during sleep|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Childhood|245570
726	726|Alpers-Huttenlocher syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Childhood<br>Adolescent<br>Adult|203700
727	727|Microscopic polyangiitis|1-9 / 100 000|Not applicable|Adult|
728	728|Relapsing polychondritis|Unknown|Unknown|All ages|
729	729|Polycythemia vera|1-5 / 10 000|Not applicable|All ages|263300
73	73|Gorham-Stout disease|Unknown|Not applicable|All ages|123880
73014	73014|Intractable diarrhea of infancy|-|-|Childhood|
731	731|Autosomal recessive polycystic kidney disease|1-9 / 100 000|Autosomal recessive|Childhood|263200
732	732|Polymyositis|1-9 / 100 000|Not applicable|Adult<br>Elderly|
73217	73217|MÃ¼llerian aplasia|1-5 / 10 000|Autosomal dominant|Adolescent<br>Adult|
73220	73220|X-linked intellectual disability-hypotonic face syndrome|Unknown|X-linked recessive|Infancy<br>Neonatal|309580
73223	73223|Global developmental delay-osteopenia-ectodermal defect syndrome|<1 / 1 000 000|Unknown|Childhood|
73224	73224|Tubular renal disease-cardiomyopathy syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|
73229	73229|HANAC syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|611773
73230	73230|Ossification anomalies-psychomotor developmental delay syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|
73245	73245|Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
73246	73246|Visceral neuropathy-brain anomalies-facial dysmorphism-developmental delay syndrome|<1 / 1 000 000|Autosomal recessive|Antenatal<br>Neonatal|
73247	73247|Eosinophilic esophagitis|1-5 / 10 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|All ages|610247 613412
73256	73256|Central neurocytoma|Unknown|Not applicable|Adolescent<br>Childhood<br>Adult|
73260	73260|Paracoccidioidomycosis|Unknown|Not applicable|All ages|
73263	73263|Zygomycosis|Unknown|Not applicable|All ages|
73267	73267|Non-24-hour sleep-wake syndrome|Unknown|Unknown|All ages|
73271	73271|Bleeding diathesis due to a collagen receptor defect|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;Autosomal dominant|All ages|614200 614201
73272	73272|Growth delay due to insulin-like growth factor type 1 deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|608747
73273	73273|Growth delay due to insulin-like growth factor I resistance|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|270450
73274	73274|Acquired hemophilia|1-9 / 1 000 000|Not applicable|Adult|
733	733|Familial adenomatous polyposis|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Adult|175100
734	734|Alpha delta granule deficiency|-|-|-|
73423	73423|Acute ackee fruit intoxication|Unknown|Not applicable|All ages|
735	735|Porokeratosis of Mibelli|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|Childhood<br>Adolescent<br>Adult|175800 175900
737	737|Porokeratosis plantaris palmaris et disseminata|Unknown|Autosomal dominant<br>or&nbsp;X-linked dominant|Adolescent<br>Adult|175850
738	738|Porphyria|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|
739	739|Prader-Willi syndrome|1-9 / 100 000|Not applicable|Neonatal<br>Antenatal|176270 615547
74	74|Angiostrongyliasis|-|-|-|
740	740|Hutchinson-Gilford progeria syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|176670
741	741|Familial mitral valve prolapse|-|Autosomal dominant|-|157700 607829 610840
742	742|Prolidase deficiency|Unknown|Autosomal recessive|Neonatal<br>Infancy<br>Childhood<br>Adolescent<br>Adult|170100
743	743|Severe hereditary thrombophilia due to congenital protein S deficiency|-|Autosomal recessive|Infancy<br>Neonatal|612336 614514
744	744|Proteus syndrome|<1 / 1 000 000|Not applicable|Infancy|176920
745	745|Severe hereditary thrombophilia due to congenital protein C deficiency|-|Autosomal recessive|Childhood|176860 612304
746	746|Mitochondrial trifunctional protein deficiency|1-9 / 100 000|Autosomal recessive|Infancy<br>Neonatal|609015
747	747|Autoimmune pulmonary alveolar proteinosis|1-9 / 1 000 000|Not applicable|Adult|610910
748	748|Mendelian susceptibility to mycobacterial diseases|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|All ages|
749	749|Congenital prekallikrein deficiency|-|Autosomal recessive|-|612423
750	750|Pseudoachondroplasia|1-9 / 100 000|Autosomal dominant|Infancy<br>Neonatal|177170
75110	75110|Myiasis|-|-|-|
752	752|46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency|-|Autosomal recessive|Neonatal<br>Adolescent|264300
75233	75233|Wolman disease|1-9 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|278000
75234	75234|Cholesteryl ester storage disease|Unknown|Autosomal recessive|Childhood|278000
75249	75249|Familial isolated restrictive cardiomyopathy|1-9 / 100 000|Autosomal dominant<br>or&nbsp;Not applicable|All ages|115210 609578 612422 615248 617047
753	753|46,XY disorder of sex development due to 5-alpha-reductase 2 deficiency|Unknown|Autosomal recessive|Neonatal<br>Infancy<br>Adolescent|264600
75325	75325|Osteosclerosis-ichthyosis-premature ovarian failure syndrome|<1 / 1 000 000|Unknown|Adolescent<br>Adult|609993
